theme_id,theme_name,primary_index_code,etf_code,etf_name,benchmark,match_type,list_date
ai,人工智能,931071.CSI,588480.SH,科创创业人工智能ETF中金,中证科创创业人工智能指数收益率,keyword:人工智能,20260512
ai,人工智能,931071.CSI,159022.SZ,科创创业人工智能ETF富国,中证科创创业人工智能指数收益率,keyword:人工智能,20260424
ai,人工智能,931071.CSI,589230.SH,科创人工智能ETF南方,上证科创板人工智能指数收益率,keyword:人工智能,20260202
ai,人工智能,931071.CSI,159243.SZ,创业板人工智能ETF招商,创业板人工智能指数收益率,keyword:人工智能,20260105
ai,人工智能,931071.CSI,588420.SH,科创创业人工智能ETF摩根,中证科创创业人工智能指数收益率,keyword:人工智能,20260105
ai,人工智能,931071.CSI,588430.SH,科创创业人工智能ETF工银,中证科创创业人工智能指数收益率,keyword:人工智能,20251229
ai,人工智能,931071.CSI,588410.SH,科创创业人工智能ETF鹏华,中证科创创业人工智能指数收益率,keyword:人工智能,20260105
ai,人工智能,931071.CSI,159139.SZ,科创创业人工智能ETF华泰柏瑞,中证科创创业人工智能指数收益率,keyword:人工智能,20251219
ai,人工智能,931071.CSI,159140.SZ,科创创业人工智能ETF易方达,中证科创创业人工智能指数收益率,keyword:人工智能,20251218
ai,人工智能,931071.CSI,159142.SZ,科创创业人工智能ETF景顺,中证科创创业人工智能指数收益率,keyword:人工智能,20251212
ai,人工智能,931071.CSI,159141.SZ,科创创业人工智能ETF永赢,中证科创创业人工智能指数收益率,keyword:人工智能,20251211
ai,人工智能,931071.CSI,589110.SH,科创人工智能ETF国泰,上证科创板人工智能指数收益率,keyword:人工智能,20251015
ai,人工智能,931071.CSI,159279.SZ,创业板人工智能ETF华安,创业板人工智能指数收益率,keyword:人工智能,20250929
ai,人工智能,931071.CSI,589560.SH,科创人工智能ETF汇添富,上证科创板人工智能指数收益率,keyword:人工智能,20250905
ai,人工智能,931071.CSI,589090.SH,科创AIETF鹏华,上证科创板人工智能指数收益率,keyword:人工智能,20250827
ai,人工智能,931071.CSI,159242.SZ,创业板人工智能ETF大成,创业板人工智能指数收益率,keyword:人工智能,20250724
ai,人工智能,931071.CSI,159248.SZ,人工智能ETF万家,中证人工智能主题指数收益率,keyword:人工智能,20250724
ai,人工智能,931071.CSI,159246.SZ,创业板人工智能ETF富国,创业板人工智能指数收益率,keyword:人工智能,20250710
ai,人工智能,931071.CSI,589380.SH,科创AIETF富国,上证科创板人工智能指数收益率,keyword:人工智能,20250701
ai,人工智能,931071.CSI,159382.SZ,创业板人工智能ETF南方,创业板人工智能指数收益率,keyword:人工智能,20250509
ai,人工智能,931071.CSI,159388.SZ,创业板人工智能ETF国泰,创业板人工智能指数收益率,keyword:人工智能,20250407
ai,人工智能,931071.CSI,589010.SH,科创人工智能ETF华夏,上证科创板人工智能指数收益率,keyword:人工智能,20250409
ai,人工智能,931071.CSI,159381.SZ,创业板人工智能ETF华夏,创业板人工智能指数收益率,keyword:人工智能,20250324
ai,人工智能,931071.CSI,589520.SH,科创人工智能ETF华宝,上证科创板人工智能指数收益率,keyword:人工智能,20250313
ai,人工智能,931071.CSI,588730.SH,科创人工智能ETF易方达,上证科创板人工智能指数收益率,keyword:人工智能,20250124
ai,人工智能,931071.CSI,588760.SH,科创人工智能ETF广发,上证科创板人工智能指数收益率,keyword:人工智能,20250123
ai,人工智能,931071.CSI,588930.SH,科创人工智能ETF银华,上证科创板人工智能指数收益率,keyword:人工智能,20250114
ai,人工智能,931071.CSI,588790.SH,科创AIETF博时,上证科创板人工智能指数收益率,keyword:人工智能,20250109
ai,人工智能,931071.CSI,159363.SZ,创业板人工智能ETF华宝,创业板人工智能指数收益率,keyword:人工智能,20241216
ai,人工智能,931071.CSI,517800.SH,人工智能50ETF方正富邦,中证沪港深人工智能50指数收益率,keyword:人工智能,20210826
ai,人工智能,931071.CSI,159819.SZ,人工智能ETF易方达,中证人工智能主题指数收益率,keyword:人工智能,20200923
ai,人工智能,931071.CSI,515980.SH,人工智能ETF华富,中证人工智能产业指数收益率,keyword:人工智能,20200210
