theme_id,theme_name,etf_code,etf_name
ai,人工智能,515070.SH,人工智能ETF华夏
chip,芯片,516350.SH,芯片ETF易方达
semiconductor,半导体,159516.SZ,半导体设备ETF国泰
consumer_electronics,消费电子,561100.SH,消费电子ETF富国
robot,机器人,562500.SH,机器人ETF华夏
satellite,卫星产业,159206.SZ,卫星ETF永赢
solar,光伏,516290.SH,光伏ETF汇添富
power_grid,电网设备,159326.SZ,电网设备ETF华夏
storage,储能,159611.SZ,储能ETF华夏
battery,电池,561160.SH,电池ETF富国
pharma,创新药,159992.SZ,创新药ETF银华
medtech,医疗器械,159883.SZ,医疗器械ETF永赢
healthcare,医药,159938.SZ,医药ETF广发
defense,军工,512660.SH,军工ETF国泰
consumer,消费,159928.SZ,消费ETF汇添富
liquor,白酒,512690.SH,酒ETF鹏华
bank,银行,512700.SH,银行ETF南方
securities,证券,159016.SZ,证券ETF广发
insurance,保险,512010.SH,保险ETF南方
fintech,金融科技,516100.SH,金融科技ETF华夏
hktech,港股科技,513180.SH,恒生科技ETF华夏
metal,有色金属,512400.SH,有色金属ETF南方
