theme,theme_name,primary_index_code,primary_index_name,etf_code,etf_name,tracking_index_code,tracking_index_relation,match_method,match_confidence,avg_amount_5d,avg_amount_20d,avg_amount_60d,latest_amount,latest_close,rank_in_theme,trading_days_count,is_active,reason
ai,人工智能,931071.CSI,中证人工智能主题指数,159819.SZ,人工智能ETF易方达,931071.CSI,same_as_primary,exact_name,exact_name_high,851804308.0,819993068.4999999,737642975.5263157,915691750.00,1.968,1,20,True,Top 1 by avg_amount_20d
ai,人工智能,931071.CSI,中证人工智能主题指数,515070.SH,人工智能ETF华夏,931071.CSI,same_as_primary,exact_name,exact_name_high,293837788.0,269838044.0,263386132.8947369,324217970.00,2.494,2,20,True,Top 2 by avg_amount_20d
ai,人工智能,931071.CSI,中证人工智能主题指数,512930.SH,AI人工智能ETF平安,931071.CSI,same_as_primary,exact_name,exact_name_high,188964584.0,191370188.5,175805756.0526316,195802410.00,0.701,3,20,True,Top 3 by avg_amount_20d
chip,芯片,H30007.CSI,中华芯片指数,588780.SH,科创芯片设计ETF国联安,950162.CSI,accepted_alternative,fuzzy,fuzzy_medium,339566228.0,324676031.0,239834000.78947368,400295260.00,1.101,1,20,True,Top 1 by avg_amount_20d
chip,芯片,H30007.CSI,中华芯片指数,589030.SH,科创芯片设计ETF易方达,950162.CSI,accepted_alternative,fuzzy,fuzzy_medium,133255306.00000001,128084411.5,97996636.05263159,137914050.00,1.273,2,20,True,Top 2 by avg_amount_20d
chip,芯片,H30007.CSI,中华芯片指数,589070.SH,科创芯片设计ETF天弘,950162.CSI,accepted_alternative,fuzzy,fuzzy_medium,108400902.0,113143750.5,109735637.63157895,113707710.00,1.197,3,20,True,Top 3 by avg_amount_20d
semiconductor,半导体,H30184.CSI,中华半导体指数,159516.SZ,半导体设备ETF国泰,931743.CSI,accepted_alternative,exact_name,exact_name_high,3693921300.0,3129711785.5,2327757002.368421,3098796560.00,1.208,1,20,True,Top 1 by avg_amount_20d
semiconductor,半导体,H30184.CSI,中华半导体指数,588170.SH,科创半导体ETF华夏,950125.CSI,accepted_alternative,fuzzy,fuzzy_medium,3203275212.0000005,2317202136.0,1578440926.3157895,2789037530.00,2.449,2,20,True,Top 2 by avg_amount_20d
semiconductor,半导体,H30184.CSI,中华半导体指数,159558.SZ,半导体设备ETF易方达,931743.CSI,accepted_alternative,exact_name,exact_name_high,1066908246.0,876977732.4999999,614335451.8421054,992667630.00,2.829,3,20,True,Top 3 by avg_amount_20d
consumer_electronics,消费电子,931494.CSI,中证消费电子主题指数,159732.SZ,消费电子ETF华夏,931494.CSI,same_as_primary,exact_name,exact_name_high,667674224.0,386020127.99999994,281766393.68421054,585743660.00,1.55,1,20,True,Top 1 by avg_amount_20d
