theme_id,theme_name,etf_code,etf_name,benchmark,list_date
ai,人工智能,515070.SH,人工智能ETF华夏,中证人工智能主题指数收益率,2019-12-24
ai,人工智能,159819.SZ,人工智能ETF易方达,中证人工智能主题指数收益率,2020-09-23
ai,人工智能,159381.SZ,创业板人工智能ETF华夏,创业板人工智能指数收益率,2025-03-24
ai,人工智能,159388.SZ,创业板人工智能ETF国泰,创业板人工智能指数收益率,2025-04-07
ai,人工智能,159382.SZ,创业板人工智能ETF南方,创业板人工智能指数收益率,2025-05-09
ai,人工智能,159246.SZ,创业板人工智能ETF富国,创业板人工智能指数收益率,2025-07-10
ai,人工智能,159279.SZ,创业板人工智能ETF华安,创业板人工智能指数收益率,2025-09-29
ai,人工智能,159243.SZ,创业板人工智能ETF招商,创业板人工智能指数收益率,2026-01-05
ai,人工智能,161631.SZ,人工智能LOF,中证人工智能主题指数收益率*95%+银行人民币活期存款利率(税后)*5%,2017-04-19
ai,人工智能,512930.SH,AI人工智能ETF平安,中证人工智能主题指数收益率,2019-08-23
chip,芯片,512760.SH,芯片ETF国泰,中华交易服务半导体芯片行业指数收益率,2019-06-12
chip,芯片,159995.SZ,芯片ETF华夏,国证半导体芯片指数收益率,2020-02-10
chip,芯片,159801.SZ,芯片ETF广发,国证半导体芯片指数收益率,2020-02-18
chip,芯片,516640.SH,芯片ETF富国,中证芯片产业指数收益率,2021-08-27
chip,芯片,516350.SH,芯片ETF易方达,中证芯片产业指数收益率,2021-12-23
chip,芯片,159813.SZ,半导体ETF鹏华,国证半导体芯片指数收益率,2020-05-25
chip,芯片,516920.SH,芯片ETF汇添富,中证芯片产业指数收益率,2021-08-16
chip,芯片,159665.SZ,半导体龙头ETF工银,国证半导体芯片指数收益率,2023-01-06
chip,芯片,501225.SH,全球芯片LOF,费城半导体指数收益率(PHLX Semiconductor Sector Index)(使用估值汇率调整)*75%+中证芯片产业指数收益率*15%+人民币活期存款利率(税后)*10%,2023-04-14
chip,芯片,159560.SZ,芯片ETF景顺,中证芯片产业指数收益率,2023-11-20
semiconductor,半导体,512760.SH,芯片ETF国泰,中华交易服务半导体芯片行业指数收益率,2019-06-12
semiconductor,半导体,159995.SZ,芯片ETF华夏,国证半导体芯片指数收益率,2020-02-10
semiconductor,半导体,159801.SZ,芯片ETF广发,国证半导体芯片指数收益率,2020-02-18
semiconductor,半导体,159516.SZ,半导体设备ETF国泰,中证半导体材料设备主题指数收益率,2023-07-27
semiconductor,半导体,561980.SH,半导体设备ETF招商,中证半导体产业指数收益率,2023-09-01
semiconductor,半导体,562590.SH,半导体设备ETF华夏,中证半导体材料设备主题指数收益率,2023-10-18
semiconductor,半导体,560780.SH,半导体设备ETF广发,中证半导体材料设备主题指数收益率,2023-12-12
semiconductor,半导体,159582.SZ,半导体ETF博时,中证半导体产业指数收益率,2024-04-16
semiconductor,半导体,159558.SZ,半导体设备ETF易方达,中证半导体材料设备主题指数收益率,2024-06-18
semiconductor,半导体,159325.SZ,半导体ETF南方,中证半导体行业精选指数收益率,2024-11-08
consumer_electronics,消费电子,159732.SZ,消费电子ETF华夏,国证消费电子主题指数收益率,2021-08-23
consumer_electronics,消费电子,561310.SH,消电ETF国泰,中证消费电子主题指数收益率,2021-11-25
consumer_electronics,消费电子,159779.SZ,消费电子ETF招商,中证消费电子主题指数收益率,2021-11-26
consumer_electronics,消费电子,562950.SH,消费电子ETF易方达,中证消费电子主题指数收益率,2022-01-20
consumer_electronics,消费电子,561100.SH,消费电子ETF富国,中证消费电子主题指数收益率,2022-02-08
consumer_electronics,消费电子,561600.SH,消费电子ETF平安,中证消费电子主题指数收益率,2021-09-09
consumer_electronics,消费电子,159153.SZ,消费电子ETF鹏华,国证消费电子主题指数收益率,2026-02-09
compute,算力基础设施,512760.SH,芯片ETF国泰,中华交易服务半导体芯片行业指数收益率,2019-06-12
compute,算力基础设施,159995.SZ,芯片ETF华夏,国证半导体芯片指数收益率,2020-02-10
compute,算力基础设施,159801.SZ,芯片ETF广发,国证半导体芯片指数收益率,2020-02-18
compute,算力基础设施,159516.SZ,半导体设备ETF国泰,中证半导体材料设备主题指数收益率,2023-07-27
compute,算力基础设施,561980.SH,半导体设备ETF招商,中证半导体产业指数收益率,2023-09-01
compute,算力基础设施,562590.SH,半导体设备ETF华夏,中证半导体材料设备主题指数收益率,2023-10-18
compute,算力基础设施,560780.SH,半导体设备ETF广发,中证半导体材料设备主题指数收益率,2023-12-12
compute,算力基础设施,159582.SZ,半导体ETF博时,中证半导体产业指数收益率,2024-04-16
compute,算力基础设施,159558.SZ,半导体设备ETF易方达,中证半导体材料设备主题指数收益率,2024-06-18
compute,算力基础设施,159325.SZ,半导体ETF南方,中证半导体行业精选指数收益率,2024-11-08
robot,机器人,562500.SH,机器人ETF华夏,中证机器人指数收益率,2021-12-29
