theme_id,theme_name,primary_index_code,etf_code,etf_name,benchmark,match_type,list_date
ai,人工智能,931071.CSI,588480.SH,科创创业人工智能ETF中金,中证科创创业人工智能指数收益率,keyword:人工智能,20260512
ai,人工智能,931071.CSI,159022.SZ,科创创业人工智能ETF富国,中证科创创业人工智能指数收益率,keyword:人工智能,20260424
ai,人工智能,931071.CSI,589230.SH,科创人工智能ETF南方,上证科创板人工智能指数收益率,keyword:人工智能,20260202
ai,人工智能,931071.CSI,588420.SH,科创创业人工智能ETF摩根,中证科创创业人工智能指数收益率,keyword:人工智能,20260105
ai,人工智能,931071.CSI,588430.SH,科创创业人工智能ETF工银,中证科创创业人工智能指数收益率,keyword:人工智能,20251229
ai,人工智能,931071.CSI,588410.SH,科创创业人工智能ETF鹏华,中证科创创业人工智能指数收益率,keyword:人工智能,20260105
ai,人工智能,931071.CSI,159139.SZ,科创创业人工智能ETF华泰柏瑞,中证科创创业人工智能指数收益率,keyword:人工智能,20251219
ai,人工智能,931071.CSI,159140.SZ,科创创业人工智能ETF易方达,中证科创创业人工智能指数收益率,keyword:人工智能,20251218
ai,人工智能,931071.CSI,159142.SZ,科创创业人工智能ETF景顺,中证科创创业人工智能指数收益率,keyword:人工智能,20251212
ai,人工智能,931071.CSI,159141.SZ,科创创业人工智能ETF永赢,中证科创创业人工智能指数收益率,keyword:人工智能,20251211
chip,芯片,H30007.CSI,589260.SH,科创芯片设计ETF国泰,上证科创板芯片设计主题指数收益率,keyword:芯片,20260402
chip,芯片,H30007.CSI,589250.SH,科创芯片设计ETF浦银,上证科创板芯片设计主题指数收益率,keyword:芯片,20260401
chip,芯片,H30007.CSI,589170.SH,科创芯片设计ETF鹏华,上证科创板芯片设计主题指数收益率,keyword:芯片,20260206
chip,芯片,H30007.CSI,589160.SH,科创芯片ETF广发,上证科创板芯片指数收益率,keyword:芯片,20260130
chip,芯片,H30007.CSI,589190.SH,科创芯片ETF华宝,上证科创板芯片指数收益率,keyword:芯片,20260127
chip,芯片,H30007.CSI,589070.SH,科创芯片设计ETF天弘,上证科创板芯片设计主题指数收益率,keyword:芯片,20260123
chip,芯片,H30007.CSI,589030.SH,科创芯片设计ETF易方达,上证科创板芯片设计主题指数收益率,keyword:芯片,20260119
chip,芯片,H30007.CSI,589130.SH,科创芯片ETF易方达,上证科创板芯片指数收益率,keyword:芯片,20260108
chip,芯片,H30007.CSI,589210.SH,科创芯片设计ETF广发,上证科创板芯片设计主题指数收益率,keyword:芯片,20251223
chip,芯片,H30007.CSI,588920.SH,科创芯片ETF鹏华,上证科创板芯片指数收益率,keyword:芯片,20250728
semiconductor,半导体,H30184.CSI,589020.SH,科创半导体设备ETF鹏华,上证科创板半导体材料设备主题指数收益率,keyword:半导体,20250904
semiconductor,半导体,H30184.CSI,588710.SH,科创半导体设备ETF华泰柏瑞,上证科创板半导体材料设备主题指数收益率,keyword:半导体,20250604
semiconductor,半导体,H30184.CSI,588170.SH,科创半导体ETF华夏,上证科创板半导体材料设备主题指数收益率,keyword:半导体,20250408
semiconductor,半导体,H30184.CSI,159327.SZ,半导体设备ETF万家,中证半导体材料设备主题指数收益率,keyword:半导体,20240805
semiconductor,半导体,H30184.CSI,513310.SH,中韩半导体ETF华泰柏瑞,中证韩交所中韩半导体指数收益率,keyword:半导体,20221222
semiconductor,半导体,H30184.CSI,512480.SH,半导体ETF国联安,中证全指半导体产品与设备指数收益率,keyword:半导体,20190612
ev,新能源车,399417.SZ,159156.SZ,电池ETF万家,国证新能源车电池指数收益率,keyword:新能源车,20260212
ev,新能源车,399417.SZ,159637.SZ,新能源车ETF东财,中证新能源汽车指数收益率,keyword:新能源汽车,20220901
ev,新能源车,399417.SZ,159775.SZ,电池ETF建信,国证新能源车电池指数收益率,keyword:新能源车,20220124
ev,新能源车,399417.SZ,159767.SZ,电池龙头ETF兴银,国证新能源车电池指数收益率,keyword:新能源车,20210823
ev,新能源车,399417.SZ,159840.SZ,锂电池ETF工银,国证新能源车电池指数收益率,keyword:新能源车,20210820
